,EDUCATION,SOUTH,SEX,EXPERIENCE,UNION,AGE,RACE,OCCUPATION,SECTOR,MARR,WAGE
119,12,no,male,12,not_member,30,White,Other,Other,Married,5.5
120,12,no,male,7,member,25,White,Other,Other,Married,7.0
121,12,no,female,15,not_member,33,White,Other,Manufacturing,Unmarried,4.5
122,12,no,male,28,not_member,46,White,Other,Other,Married,6.5
123,12,yes,male,20,member,38,White,Other,Manufacturing,Married,12.0
124,12,yes,male,6,not_member,24,White,Other,Construction,Unmarried,5.0
125,12,yes,male,5,not_member,23,White,Other,Manufacturing,Unmarried,6.5
126,9,yes,female,30,not_member,45,White,Other,Manufacturing,Married,6.8
127,13,no,male,18,not_member,37,White,Other,Other,Married,8.75
128,12,yes,female,6,not_member,24,Other,Other,Manufacturing,Married,3.75
129,12,yes,male,16,not_member,34,Hispanic,Other,Other,Unmarried,4.5
130,12,yes,male,1,member,19,Hispanic,Other,Other,Unmarried,6.0
131,12,no,male,3,not_member,21,White,Other,Manufacturing,Unmarried,5.5
132,12,no,male,8,not_member,26,White,Other,Other,Married,13.0
133,14,no,male,2,not_member,22,White,Other,Manufacturing,Unmarried,5.65
134,9,no,male,16,not_member,31,Other,Other,Manufacturing,Unmarried,4.8
135,10,yes,male,9,not_member,25,White,Other,Construction,Married,7.0
136,12,no,male,2,not_member,20,White,Other,Other,Unmarried,5.25
137,7,yes,male,43,not_member,56,White,Other,Manufacturing,Married,3.35
138,9,no,male,38,not_member,53,White,Other,Manufacturing,Married,8.5
139,12,no,male,9,not_member,27,White,Other,Other,Married,6.0
140,12,yes,male,12,not_member,30,White,Other,Other,Married,6.75
141,12,no,male,18,not_member,36,White,Other,Manufacturing,Married,8.89
142,11,no,male,15,member,32,White,Other,Manufacturing,Unmarried,14.21
143,11,yes,male,28,member,45,Other,Other,Construction,Married,10.78
144,10,yes,male,27,member,43,White,Other,Construction,Married,8.9
145,12,yes,male,38,not_member,56,White,Other,Other,Married,7.5
146,12,no,female,3,not_member,21,White,Other,Manufacturing,Unmarried,4.5
147,12,no,male,41,member,59,White,Other,Other,Married,11.25
148,12,yes,male,16,member,34,White,Other,Other,Married,13.45
149,13,yes,male,7,not_member,26,White,Other,Manufacturing,Married,6.0
150,6,yes,female,33,not_member,45,Other,Other,Manufacturing,Unmarried,4.62
151,14,no,male,25,not_member,45,White,Other,Manufacturing,Married,10.58
152,12,yes,male,5,not_member,23,White,Other,Other,Married,5.0
153,14,yes,male,17,not_member,37,Other,Other,Other,Unmarried,8.2
154,12,yes,male,1,not_member,19,White,Other,Other,Unmarried,6.25
155,12,no,male,13,not_member,31,White,Other,Manufacturing,Married,8.5
156,16,no,male,18,not_member,40,White,Management,Other,Married,24.98
157,14,yes,male,21,not_member,41,White,Management,Other,Married,16.65
158,14,no,male,2,not_member,22,White,Management,Other,Unmarried,6.25
159,12,yes,female,4,not_member,22,Hispanic,Management,Other,Unmarried,4.55
160,12,yes,female,30,not_member,48,Hispanic,Management,Other,Married,11.25
161,13,no,male,32,not_member,51,White,Management,Other,Unmarried,21.25
162,17,no,female,13,not_member,36,White,Management,Other,Married,12.65
163,12,no,male,17,not_member,35,White,Management,Other,Unmarried,7.5
164,14,no,female,26,not_member,46,White,Management,Other,Married,10.25
165,16,no,male,9,not_member,31,White,Management,Other,Unmarried,3.35
166,16,no,male,8,not_member,30,Other,Management,Other,Unmarried,13.45
167,15,no,male,1,member,22,White,Management,Other,Married,4.84
168,17,yes,male,32,not_member,55,White,Management,Other,Married,26.29
169,12,no,female,24,not_member,42,White,Management,Other,Married,6.58
170,14,no,female,1,not_member,21,White,Management,Other,Unmarried,44.5
171,12,no,male,42,not_member,60,White,Management,Manufacturing,Married,15.0
172,16,no,female,3,not_member,25,Other,Management,Manufacturing,Unmarried,11.25
173,12,no,female,32,not_member,50,White,Management,Other,Married,7.0
174,14,no,male,22,not_member,42,Other,Management,Other,Unmarried,10.0
175,16,no,male,18,not_member,40,White,Management,Other,Married,14.53
176,18,no,female,19,not_member,43,White,Management,Other,Married,20.0
177,15,no,male,12,not_member,33,White,Management,Other,Married,22.5
178,12,no,female,42,not_member,60,White,Management,Other,Married,3.64
179,12,yes,male,34,not_member,52,White,Management,Other,Married,10.62
180,18,no,male,29,not_member,53,White,Management,Other,Married,24.98
181,16,yes,male,8,not_member,30,White,Management,Other,Unmarried,6.0
182,18,no,male,13,not_member,37,White,Management,Manufacturing,Unmarried,19.0
183,16,no,male,10,not_member,32,White,Management,Other,Unmarried,13.2
184,16,no,male,22,not_member,44,White,Management,Other,Married,22.5
185,16,yes,male,10,not_member,32,White,Management,Other,Married,15.0
186,17,no,female,15,not_member,38,White,Management,Other,Married,6.88
187,12,no,male,26,not_member,44,White,Management,Other,Married,11.84
188,14,no,male,16,not_member,36,White,Management,Other,Unmarried,16.14
189,18,no,female,14,not_member,38,White,Management,Other,Married,13.95
190,12,no,female,38,not_member,56,White,Management,Other,Married,13.16
191,12,yes,male,14,not_member,32,Other,Management,Other,Married,5.3
192,12,no,female,7,not_member,25,White,Management,Other,Married,4.5
193,18,yes,female,13,not_member,37,White,Management,Other,Unmarried,10.0
194,10,no,male,20,not_member,36,White,Management,Other,Married,10.0
195,16,no,male,7,member,29,Hispanic,Management,Other,Married,10.0
196,16,no,female,26,not_member,48,White,Management,Other,Married,9.37
197,16,no,male,14,not_member,36,White,Management,Other,Married,5.8
198,13,no,male,36,not_member,55,White,Management,Other,Unmarried,17.86
199,12,no,male,24,not_member,42,White,Management,Other,Married,1.0
200,14,yes,male,41,not_member,61,White,Management,Other,Married,8.8
201,16,no,male,7,not_member,29,Other,Management,Other,Married,9.0
202,17,yes,male,14,not_member,37,White,Management,Other,Unmarried,18.16
203,12,yes,female,1,not_member,19,White,Management,Other,Unmarried,7.81
204,16,no,female,6,not_member,28,White,Management,Manufacturing,Married,10.62
205,12,no,female,3,not_member,21,White,Management,Other,Married,4.5
206,15,no,male,31,not_member,52,White,Management,Other,Married,17.25
207,13,no,female,14,not_member,33,White,Management,Manufacturing,Married,10.5
208,14,no,female,13,not_member,33,White,Management,Other,Married,9.22
209,16,no,male,26,member,48,Other,Management,Manufacturing,Married,15.0
210,18,no,male,14,not_member,38,White,Management,Other,Married,22.5
211,13,no,female,33,not_member,52,White,Sales,Other,Married,4.55
212,12,no,male,16,not_member,34,White,Sales,Other,Married,9.0
213,18,no,male,10,not_member,34,White,Sales,Other,Married,13.33
214,14,no,male,22,not_member,42,White,Sales,Other,Unmarried,15.0
215,14,no,male,2,not_member,22,White,Sales,Other,Unmarried,7.5
216,12,yes,female,29,not_member,47,White,Sales,Other,Married,4.25
217,12,no,male,43,not_member,61,White,Sales,Manufacturing,Married,12.5
218,12,no,female,5,not_member,23,White,Sales,Other,Married,5.13
219,16,yes,female,14,not_member,36,Other,Sales,Other,Married,3.35
220,12,yes,male,28,not_member,46,White,Sales,Other,Married,11.11
221,11,yes,female,25,not_member,42,Other,Sales,Other,Married,3.84
222,12,no,female,45,not_member,63,White,Sales,Other,Married,6.4
223,14,yes,male,5,not_member,25,White,Sales,Other,Unmarried,5.56
224,12,yes,male,20,not_member,38,White,Sales,Manufacturing,Married,10.0
225,16,no,female,6,not_member,28,White,Sales,Other,Married,5.65
226,16,no,male,16,not_member,38,White,Sales,Other,Married,11.5
227,11,no,female,33,not_member,50,White,Sales,Other,Married,3.5
228,13,yes,female,2,not_member,21,White,Sales,Other,Married,3.35
229,12,yes,female,10,not_member,28,White,Sales,Other,Unmarried,4.75
230,14,yes,male,44,not_member,64,White,Sales,Other,Married,19.98
231,14,yes,female,6,not_member,26,White,Sales,Other,Married,3.5
232,12,no,female,15,not_member,33,White,Sales,Other,Unmarried,4.0
233,12,no,male,5,not_member,23,White,Sales,Other,Married,7.0
234,13,no,female,4,not_member,23,White,Sales,Manufacturing,Married,6.25
235,14,no,male,14,not_member,34,White,Sales,Other,Married,4.5
236,14,no,female,32,not_member,52,White,Sales,Other,Married,14.29
237,12,no,female,14,not_member,32,White,Sales,Other,Married,5.0
238,14,no,male,21,not_member,41,White,Sales,Other,Married,13.75
239,12,no,male,43,member,61,White,Sales,Other,Married,13.71
240,12,yes,female,27,not_member,45,Other,Sales,Other,Married,7.5
241,12,no,female,4,not_member,22,White,Sales,Other,Unmarried,3.8
242,14,no,male,0,not_member,20,Hispanic,Sales,Other,Unmarried,5.0
243,12,yes,male,32,not_member,50,White,Sales,Other,Married,9.42
244,12,no,male,20,not_member,38,White,Sales,Other,Married,5.5
245,15,yes,male,4,not_member,25,White,Sales,Other,Unmarried,3.75
246,12,no,male,34,not_member,52,White,Sales,Other,Married,3.5
247,13,no,male,5,not_member,24,White,Sales,Other,Unmarried,5.8
248,17,no,male,13,not_member,36,White,Sales,Manufacturing,Married,12.0
249,14,no,female,17,not_member,37,Hispanic,Clerical,Other,Married,5.0
250,13,yes,female,10,not_member,29,White,Clerical,Other,Married,8.75
251,16,no,female,7,not_member,29,White,Clerical,Other,Married,10.0
252,12,no,female,25,not_member,43,White,Clerical,Other,Unmarried,8.5
253,12,no,female,18,not_member,36,Other,Clerical,Other,Married,8.63
254,16,no,female,27,not_member,49,White,Clerical,Manufacturing,Married,9.0
255,16,no,female,2,not_member,24,White,Clerical,Other,Unmarried,5.5
256,13,no,male,13,not_member,32,White,Clerical,Other,Married,11.11
257,14,no,female,24,not_member,44,White,Clerical,Other,Unmarried,10.0
258,18,yes,female,13,not_member,37,Hispanic,Clerical,Other,Married,5.2
259,14,no,female,15,member,35,White,Clerical,Other,Unmarried,8.0
260,12,yes,female,12,not_member,30,Hispanic,Clerical,Other,Unmarried,3.56
261,12,no,female,24,not_member,42,White,Clerical,Other,Married,5.2
262,12,no,female,43,not_member,61,White,Clerical,Construction,Married,11.67
263,12,no,female,13,not_member,31,White,Clerical,Manufacturing,Married,11.32
264,12,yes,female,16,not_member,34,White,Clerical,Other,Married,7.5
265,11,no,female,24,not_member,41,White,Clerical,Other,Married,5.5
266,16,yes,female,4,not_member,26,White,Clerical,Other,Married,5.0
267,12,no,female,24,not_member,42,White,Clerical,Other,Married,7.75
268,12,no,female,45,not_member,63,White,Clerical,Other,Married,5.25
269,12,no,male,20,member,38,White,Clerical,Other,Married,9.0
270,12,no,female,38,not_member,56,White,Clerical,Other,Married,9.65
271,18,yes,male,10,not_member,34,White,Clerical,Other,Married,5.21
272,11,no,female,16,not_member,33,Other,Clerical,Other,Married,7.0
273,12,yes,female,32,not_member,50,Other,Clerical,Other,Married,12.16
274,16,yes,female,2,not_member,24,White,Clerical,Other,Unmarried,5.25
275,13,yes,female,28,not_member,47,White,Clerical,Other,Unmarried,10.32
276,16,no,male,3,not_member,25,Other,Clerical,Other,Unmarried,3.35
277,13,no,female,8,member,27,White,Clerical,Other,Unmarried,7.7
278,12,no,female,44,not_member,62,White,Clerical,Manufacturing,Married,9.17
279,12,yes,male,12,not_member,30,White,Clerical,Other,Married,8.43
280,12,yes,male,8,not_member,26,Other,Clerical,Other,Married,4.0
281,12,no,female,4,not_member,22,White,Clerical,Other,Married,4.13
282,12,yes,female,28,not_member,46,White,Clerical,Other,Married,3.0
283,13,yes,female,0,not_member,19,White,Clerical,Other,Unmarried,4.25
284,14,yes,male,1,not_member,21,White,Clerical,Other,Unmarried,7.53
285,14,no,female,12,not_member,32,White,Clerical,Manufacturing,Married,10.53
286,12,no,female,39,not_member,57,White,Clerical,Other,Married,5.0
287,12,no,female,24,not_member,42,White,Clerical,Other,Married,15.03
288,17,no,female,32,not_member,55,Other,Clerical,Other,Married,11.25
289,16,no,male,4,not_member,26,Other,Clerical,Other,Unmarried,6.25
290,12,no,female,25,not_member,43,Other,Clerical,Other,Unmarried,3.5
291,12,no,male,8,not_member,26,Other,Clerical,Other,Unmarried,6.85
292,13,no,female,16,not_member,35,White,Clerical,Other,Married,12.5
293,12,yes,male,5,not_member,23,White,Clerical,Other,Unmarried,12.0
294,13,no,male,31,not_member,50,White,Clerical,Other,Unmarried,6.0
295,12,no,female,25,not_member,43,White,Clerical,Other,Unmarried,9.5
296,12,no,female,15,not_member,33,White,Clerical,Other,Married,4.1
297,14,yes,female,15,not_member,35,White,Clerical,Other,Married,10.43
298,12,no,female,0,not_member,18,White,Clerical,Other,Unmarried,5.0
299,12,no,male,19,not_member,37,White,Clerical,Other,Married,7.69
300,12,no,female,21,not_member,39,Other,Clerical,Other,Unmarried,5.5
301,12,no,female,6,not_member,24,White,Clerical,Other,Unmarried,6.4
302,12,no,female,14,member,32,White,Clerical,Other,Married,12.5
303,13,no,female,30,not_member,49,White,Clerical,Other,Married,6.25
304,12,no,female,8,not_member,26,White,Clerical,Other,Unmarried,8.0
305,9,no,male,33,member,48,White,Clerical,Other,Unmarried,9.6
306,13,no,male,16,not_member,35,Hispanic,Clerical,Other,Unmarried,9.1
307,12,yes,female,20,not_member,38,White,Clerical,Other,Unmarried,7.5
308,13,yes,female,6,not_member,25,White,Clerical,Other,Married,5.0
309,12,no,female,10,member,28,White,Clerical,Other,Married,7.0
310,13,yes,female,1,not_member,20,White,Clerical,Other,Unmarried,3.55
311,12,yes,male,2,not_member,20,Other,Clerical,Other,Unmarried,8.5
312,13,yes,female,0,not_member,19,White,Clerical,Other,Unmarried,4.5
313,16,no,male,17,not_member,39,Other,Clerical,Other,Married,7.88
314,12,no,female,8,not_member,26,White,Clerical,Other,Unmarried,5.25
315,12,yes,male,4,not_member,22,White,Clerical,Other,Unmarried,5.0
316,12,no,female,15,not_member,33,White,Clerical,Other,Unmarried,9.33
317,12,no,female,29,not_member,47,White,Clerical,Other,Married,10.5
318,12,yes,female,23,not_member,41,Other,Clerical,Other,Married,7.5
319,12,yes,female,39,not_member,57,White,Clerical,Other,Married,9.5
320,12,yes,female,14,not_member,32,White,Clerical,Other,Married,9.6
321,17,yes,female,6,not_member,29,Other,Clerical,Other,Unmarried,5.87
322,14,yes,male,12,member,32,White,Clerical,Other,Married,11.02
323,12,yes,female,26,not_member,44,White,Clerical,Other,Unmarried,5.0
324,14,no,female,32,not_member,52,White,Clerical,Other,Married,5.62
325,15,no,female,6,not_member,27,White,Clerical,Other,Married,12.5
326,12,no,female,40,not_member,58,White,Clerical,Other,Married,10.81
327,12,no,female,18,not_member,36,White,Clerical,Manufacturing,Married,5.4
328,11,no,female,12,not_member,29,White,Clerical,Other,Unmarried,7.0
329,12,yes,female,36,not_member,54,White,Clerical,Construction,Married,4.59
330,12,no,female,19,not_member,37,White,Clerical,Other,Married,6.0
331,16,no,female,42,not_member,64,White,Clerical,Manufacturing,Unmarried,11.71
332,13,no,female,2,not_member,21,Hispanic,Clerical,Other,Married,5.62
333,12,no,female,33,not_member,51,White,Clerical,Other,Married,5.5
334,12,yes,female,14,not_member,32,White,Clerical,Other,Married,4.85
335,12,no,male,22,not_member,40,White,Clerical,Other,Unmarried,6.75
336,12,no,female,20,not_member,38,White,Clerical,Other,Married,4.25
337,12,no,female,15,not_member,33,White,Clerical,Other,Married,5.75
338,12,no,male,35,not_member,53,White,Clerical,Other,Married,3.5
339,12,no,female,7,not_member,25,White,Clerical,Other,Married,3.35
340,12,no,female,45,not_member,63,White,Clerical,Manufacturing,Unmarried,10.62
341,12,no,female,9,not_member,27,White,Clerical,Other,Unmarried,8.0
342,12,yes,female,2,not_member,20,White,Clerical,Other,Married,4.75
343,17,yes,male,3,not_member,26,White,Clerical,Other,Unmarried,8.5
344,14,no,female,19,member,39,Other,Clerical,Other,Married,8.85
345,12,yes,female,14,not_member,32,White,Clerical,Other,Married,8.0
346,4,no,male,54,not_member,64,White,Service,Other,Married,6.0
347,14,no,male,17,not_member,37,White,Service,Other,Married,7.14
348,8,no,female,29,not_member,43,Other,Service,Other,Married,3.4
349,15,yes,female,26,not_member,47,White,Service,Other,Unmarried,6.0
350,2,no,male,16,not_member,24,Hispanic,Service,Other,Unmarried,3.75
351,8,no,female,29,not_member,43,Other,Service,Other,Unmarried,8.89
352,11,no,female,20,not_member,37,White,Service,Other,Married,4.35
353,10,yes,female,38,not_member,54,Other,Service,Other,Married,13.1
354,8,yes,female,37,not_member,51,Other,Service,Other,Married,4.35
355,9,no,male,48,not_member,63,White,Service,Other,Unmarried,3.5
356,12,no,female,16,not_member,34,White,Service,Other,Unmarried,3.8
357,8,no,female,38,not_member,52,White,Service,Other,Married,5.26
358,14,no,male,0,not_member,20,Other,Service,Other,Unmarried,3.35
359,12,no,male,14,member,32,Other,Service,Other,Unmarried,16.26
360,12,no,female,2,not_member,20,White,Service,Other,Married,4.25
361,16,no,male,21,not_member,43,White,Service,Other,Married,4.5
362,13,no,female,15,not_member,34,White,Service,Other,Married,8.0
363,16,no,female,20,not_member,42,White,Service,Other,Unmarried,4.0
364,14,no,female,12,not_member,32,White,Service,Other,Married,7.96
365,12,yes,male,7,not_member,25,Hispanic,Service,Other,Unmarried,4.0
366,11,no,male,4,not_member,21,White,Service,Other,Married,4.15
367,13,yes,male,9,not_member,28,White,Service,Other,Married,5.95
368,12,yes,female,43,not_member,61,Hispanic,Service,Other,Married,3.6
369,10,yes,male,19,not_member,35,White,Service,Other,Unmarried,8.75
370,8,no,female,49,not_member,63,White,Service,Other,Unmarried,3.4
371,12,no,female,38,not_member,56,White,Service,Other,Married,4.28
372,12,no,female,13,not_member,31,White,Service,Other,Married,5.35
373,12,no,female,14,not_member,32,White,Service,Other,Married,5.0
374,12,no,male,20,not_member,38,White,Service,Other,Unmarried,7.65
375,12,no,female,7,not_member,25,White,Service,Other,Unmarried,6.94
376,12,no,female,9,member,27,White,Service,Manufacturing,Married,7.5
377,12,no,female,6,not_member,24,White,Service,Other,Unmarried,3.6
378,12,yes,female,5,not_member,23,White,Service,Other,Married,1.75
379,13,yes,female,1,not_member,20,Other,Service,Other,Unmarried,3.45
380,14,no,male,22,member,42,White,Service,Other,Married,9.63
381,12,no,female,24,not_member,42,White,Service,Other,Married,8.49
382,12,no,female,15,member,33,White,Service,Other,Unmarried,8.99
383,11,yes,female,8,not_member,25,White,Service,Other,Married,3.65
384,11,yes,female,17,not_member,34,White,Service,Other,Married,3.5
385,12,yes,male,2,not_member,20,Other,Service,Other,Unmarried,3.43
386,12,yes,male,20,not_member,38,White,Service,Other,Married,5.5
387,12,no,male,26,member,44,White,Service,Other,Married,6.93
388,10,yes,female,37,not_member,53,Other,Service,Other,Married,3.51
389,12,no,female,41,not_member,59,White,Service,Other,Unmarried,3.75
390,12,no,female,27,not_member,45,White,Service,Other,Married,4.17
391,12,no,female,5,member,23,White,Service,Other,Married,9.57
392,14,no,male,16,not_member,36,Other,Service,Other,Married,14.67
393,14,no,female,19,not_member,39,White,Service,Other,Married,12.5
394,12,no,male,10,not_member,28,White,Service,Other,Married,5.5
395,13,yes,male,1,member,20,White,Service,Other,Unmarried,5.15
396,12,no,female,43,member,61,Other,Service,Other,Married,8.0
397,13,no,male,3,not_member,22,Other,Service,Other,Unmarried,5.83
398,12,no,female,0,not_member,18,White,Service,Other,Unmarried,3.35
399,12,yes,female,26,not_member,44,White,Service,Other,Married,7.0
400,10,no,female,25,member,41,White,Service,Other,Married,10.0
401,12,no,female,15,not_member,33,White,Service,Other,Married,8.0
402,14,yes,female,10,not_member,30,White,Service,Other,Unmarried,6.88
403,11,no,female,45,member,62,White,Service,Other,Unmarried,5.55
404,11,no,male,3,not_member,20,Other,Service,Other,Unmarried,7.5
405,8,no,male,47,member,61,Hispanic,Service,Other,Married,8.93
406,16,no,female,6,not_member,28,Other,Service,Other,Married,9.0
407,10,yes,female,33,not_member,49,White,Service,Other,Unmarried,3.5
408,16,no,male,3,not_member,25,White,Service,Manufacturing,Unmarried,5.77
