ID,Brand,Model,Year_of_production,Type,Leather_interior,Fuel_type,Engine_volume,Mileage,Cylinders,Gear_box,Drive_wheels,Doors,Color,Airbags,Tax,Price
45744720,DAEWOO,Lacetti,2010,Sedan,Yes,Diesel,1.6,75840 km,4.0,Automatic,Front,04-May,Black,4,687,7056
45732757,HYUNDAI,Sonata,2010,Sedan,Yes,Petrol,2,126799 km,4.0,Automatic,Front,04-May,Black,4,836,16894
45641335,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,179381 km,4.0,Automatic,Front,04-May,Black,12,394,11133
45732836,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2,386544 km,4.0,Automatic,Front,04-May,Silver,4,639,11604
45479610,MERCEDES-BENZ,E 350,2012,Sedan,Yes,Petrol,3.5,890000 km,6.0,Tiptronic,Rear,04-May,Grey,12,1058,30800
44808778,MITSUBISHI,Outlander sport,2018,Jeep,Yes,Petrol,2.0 Turbo,36534 km,5.0,Automatic,Front,04-May,Red,12,1079,31204
45757346,CHEVROLET,Aveo,2009,Sedan,No,Petrol,1.6,58000 km,4.0,Automatic,Front,04-May,Carnelian red,7,790,10349
45803312,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,2,162000 km,4.0,Automatic,Front,04-May,Grey,4,640,16443
45649049,MERCEDES-BENZ,GLE 350,2017,Jeep,Yes,Petrol,3.5,39814 km,6.0,Automatic,Rear,04-May,Black,0,1714,43592
45810046,TOYOTA,Aqua,2014,Hatchback,Yes,Petrol,1.5,42000 km,4.0,Automatic,Front,04-May,Grey,4,501,30906
45810032,HONDA,Civic,2019,Sedan,Yes,Petrol,2,8115 km,4.0,Automatic,Front,04-May,Silver,4,1077,59827
45804652,KIA,Optima,2014,Sedan,Yes,Petrol,2.4,98579 km,4.0,Automatic,Front,04-May,Grey,0,749,15681
45726633,SSANGYONG,Korando,2013,Jeep,Yes,Diesel,2,93338 km,4.0,Automatic,Front,04-May,White,4,640,26149
45804635,HYUNDAI,Sonata sport,2016,Sedan,Yes,Petrol,2.4,25541 km,4.0,Automatic,Front,04-May,Black,8,1051,24462
45730906,HYUNDAI,Genesis,2010,Sedan,Yes,Petrol,3.3,235729 km,4.0,Automatic,Front,04-May,Silver,4,1324,17484
45806739,DODGE,Ramcharger,2016,Sedan,Yes,Petrol,5.7,87434 km,8.0,Automatic,Rear,04-May,Black,12,2377,11760
45732741,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2,362868 km,4.0,Automatic,Front,04-May,Silver,4,639,10036
45802799,HYUNDAI,Santa FE,2012,Jeep,Yes,Diesel,2,174712 km,4.0,Automatic,Front,04-May,Silver,4,642,22843
45763931,LEXUS,GX 470,2013,Jeep,Yes,Petrol,4.6,202651 km,8.0,Automatic,4x4,04-May,Black,0,1360,54568
45787271,MERCEDES-BENZ,E 350,2013,Coupe,Yes,Petrol,3.5,110000 km,6.0,Tiptronic,Rear,02-Mar,Black,8,1055,33556
45729983,SSANGYONG,Actyon,2018,Jeep,Yes,Petrol,1.6,30084 km,4.0,Automatic,Front,04-May,Blue,4,880,40634
45732359,HYUNDAI,Santa FE,2018,Jeep,Yes,Diesel,2,17245 km,4.0,Automatic,Front,04-May,White,4,1079,58018
45115372,FORD,Transit,2008,Microbus,No,Diesel,2.2 Turbo,150000 km,4.0,Manual,Front,04-May,Silver,2,1195,17876
45809136,TOYOTA,Aqua,2012,Hatchback,Yes,Petrol,1.5,41620 km,4.0,Automatic,Front,04-May,Yellow,4,503,30906
45802122,HYUNDAI,H1,2011,Microbus,Yes,Diesel,2,55622 km,4.0,Automatic,Front,04-May,Silver,4,707,21805
45765846,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,5.5,101424 km,8.0,Automatic,4x4,04-May,Grey,12,1604,32302
45809176,HONDA,FIT,2015,Hatchback,Yes,Petrol,1.3,137533 km,4.0,Automatic,Front,04-May,Silver,4,527,13203
45646491,LEXUS,ES 350,2015,Sedan,Yes,Hybrid,2.5,40386 km,4.0,Automatic,Front,04-May,White,12,456,10192
45809477,HONDA,FIT,2017,Hatchback,Yes,Petrol,1.5,9000 km,4.0,Automatic,Front,04-May,Black,4,784,42538
45624565,LEXUS,RX 450,2012,Jeep,Yes,Hybrid,3.5,187000 km,6.0,Tiptronic,4x4,04-May,Grey,12,1058,55823
45800575,VOLKSWAGEN,Jetta s,2017,Sedan,No,Petrol,1.4 Turbo,41000 km,4.0,Automatic,Front,04-May,Black,4,738,10976
45810072,TOYOTA,Aqua,2013,Hatchback,Yes,Petrol,1.5,179000 km,4.0,Automatic,Front,04-May,White,4,502,15530
45766293,TOYOTA,Tacoma,2013,Jeep,Yes,Petrol,2.7,265558 km,4.0,Automatic,Rear,04-May,White,12,834,14583
45809767,HONDA,Civic,2018,Coupe,Yes,Petrol,1.5,12812 km,4.0,Automatic,Front,04-May,White,4,831,65817
45789962,KIA,Sportage,2007,Jeep,Yes,Diesel,2,58497 km,4.0,Automatic,Front,04-May,Silver,4,1282,4701
45797041,HYUNDAI,Genesis,2013,Coupe,Yes,Petrol,2,95605 km,4.0,Automatic,Front,04-May,Black,4,640,41048
45730178,SSANGYONG,Actyon,2017,Jeep,Yes,Diesel,1.6,50518 km,4.0,Automatic,Front,04-May,Blue,4,831,40092
45793477,CHEVROLET,Captiva,2007,Jeep,Yes,Diesel,2,50412 km,4.0,Automatic,Front,04-May,White,4,1288,5331
45798196,HYUNDAI,Elantra,2007,Sedan,Yes,Petrol,1.6,150863 km,4.0,Automatic,Front,04-May,White,4,1047,11992
45802538,HYUNDAI,Santa FE,2017,Jeep,Yes,Diesel,2.2,21037 km,4.0,Automatic,Front,04-May,Blue,4,1110,44846
45810862,TOYOTA,Prius V HIBRID,2011,Sedan,Yes,Hybrid,1.8,159000 km,4.0,Automatic,Front,04-May,Silver,12,645,20385
45491349,TOYOTA,Prius V,2012,Hatchback,No,Hybrid,1.8,360755 km,4.0,Automatic,Front,04-May,Sky blue,12,586,15200
45650429,TOYOTA,Highlander,2012,Jeep,Yes,Hybrid,3.5,157211 km,6.0,Automatic,4x4,04-May,White,12,1058,9879
45487175,FORD,Fiesta,2014,Sedan,No,Petrol,1.6 Turbo,152000 km,4.0,Manual,Front,04-May,Black,6,528,25089
45733102,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2,51236 km,4.0,Automatic,Front,04-May,White,4,765,17405
45732378,HYUNDAI,Santa FE,2015,Jeep,Yes,Diesel,2,121390 km,4.0,Automatic,Front,04-May,White,4,765,49259
45793567,CHEVROLET,Captiva,2009,Jeep,Yes,Diesel,2,72538 km,4.0,Automatic,Front,04-May,Black,4,961,7850
45816005,HYUNDAI,Sonata,2012,Sedan,Yes,Hybrid,2.4,123862 km,4.0,Automatic,Front,04-May,White,12,753,4234
45805751,BMW,550 F10,2012,Sedan,Yes,Petrol,4.4 Turbo,168000 km,8.0,Tiptronic,Rear,04-May,White,12,1308,26657
45656919,MERCEDES-BENZ,ML 350,2008,Jeep,Yes,Diesel,3,213998 km,6.0,Automatic,4x4,04-May,Silver,12,1598,4547
45785925,VOLKSWAGEN,Jetta,2016,Sedan,Yes,Petrol,1.8 Turbo,50000 km,4.0,Tiptronic,Front,04-May,Grey,16,810,20385
45801299,HONDA,Cr-v,2014,Jeep,No,Petrol,2.4,49000 km,4.0,Automatic,4x4,04-May,Silver,0,749,26030
45803077,HYUNDAI,Santa FE,2015,Jeep,Yes,Diesel,2,31251 km,4.0,Automatic,Front,04-May,White,4,765,34340
45793102,CHEVROLET,Cruze,2009,Sedan,Yes,Diesel,2,74830 km,4.0,Automatic,Front,04-May,Black,4,965,6752
45655114,LEXUS,GX 460,2011,Jeep,Yes,Petrol,4.6,160138 km,8.0,Automatic,4x4,04-May,White,0,1514,43278
45792128,KIA,Cadenza,2011,Sedan,Yes,Petrol,2.7,68105 km,6.0,Automatic,Front,04-May,Silver,4,924,10036
45795868,MERCEDES-BENZ,ML 350,2012,Jeep,Yes,Diesel,3,179520 km,6.0,Automatic,4x4,04-May,Blue,8,919,43905
45731453,HYUNDAI,H1,2014,Minivan,Yes,Diesel,2.5,273500 km,4.0,Automatic,Front,04-May,Black,4,777,25763
45476074,TOYOTA,Prius,2013,Hatchback,No,Hybrid,1.8,51000 km,4.0,Automatic,Front,04-May,White,8,585,18503
45797636,HYUNDAI,H1,2008,Minivan,Yes,Diesel,2.5,52169 km,4.0,Automatic,Front,04-May,Blue,4,1347,15524
45809174,CHEVROLET,Captiva,2016,Jeep,Yes,Diesel,2,70922 km,4.0,Automatic,Front,04-May,White,4,891,44865
45729748,HYUNDAI,Elantra,2015,Sedan,Yes,Petrol,1.6,118997 km,4.0,Automatic,Front,04-May,White,4,629,27654
42139958,VOLKSWAGEN,UP,2013,Hatchback,No,Petrol,1,52000 km,3.0,Tiptronic,Front,04-May,Blue,4,364,9000
45651295,TOYOTA,Prius,2011,Hatchback,Yes,Hybrid,1.8,0 km,4.0,Automatic,Front,04-May,Grey,12,645,5175
45796360,TOYOTA,Prius,2014,Hatchback,Yes,Hybrid,1.8,0 km,4.0,Variator,Front,04-May,White,6,308,10976
45804228,HYUNDAI,Tucson,2010,Jeep,Yes,Diesel,2,136275 km,4.0,Automatic,Front,04-May,Black,4,836,25299
45731795,HYUNDAI,H1,2017,Universal,Yes,Diesel,2.5,110000 km,4.0,Automatic,Front,04-May,Grey,4,1249,42102
45798027,HYUNDAI,Elantra,2010,Sedan,Yes,Petrol,1.6,101387 km,4.0,Automatic,Front,04-May,Silver,4,687,14834
45765146,CHEVROLET,Volt,2014,Hatchback,Yes,Hybrid,1.4,138491 km,4.0,Automatic,Front,04-May,Black,0,259,3763
45803683,HYUNDAI,Tucson,2016,Jeep,Yes,Diesel,2,145136 km,4.0,Automatic,Front,04-May,White,4,891,37291
45733227,HYUNDAI,Sonata,2010,Sedan,Yes,LPG,2,89181 km,4.0,Automatic,Front,04-May,Silver,4,836,7527
45730590,SSANGYONG,Actyon,2016,Jeep,Yes,Diesel,1.6,153404 km,4.0,Automatic,Front,04-May,Silver,4,730,30564
45793634,CHEVROLET,Captiva,2007,Jeep,Yes,Diesel,2,78972 km,4.0,Automatic,Front,04-May,Silver,4,1282,6272
44691315,VOLKSWAGEN,Passat,2015,Sedan,Yes,Petrol,1.8 Turbo,63523 km,4.0,Tiptronic,Front,04-May,Black,8,697,20385
45802039,HYUNDAI,Genesis,2010,Coupe,Yes,Petrol,2,81384 km,4.0,Automatic,Front,04-May,White,4,836,15822
45785918,TOYOTA,Prius,2012,Hatchback,No,Hybrid,1.8,300000 km,4.0,Automatic,Front,04-May,Silver,0,586,15367
45747329,NISSAN,Juke,2015,Jeep,Yes,Petrol,1.6 Turbo,74000 km,4.0,Tiptronic,4x4,04-May,Silver,10,629,23207
45808878,CHEVROLET,Aveo,2016,Sedan,Yes,Petrol,1.6,9607 km,4.0,Automatic,Front,04-May,White,4,730,27174
45729634,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,1.6,39770 km,4.0,Automatic,Front,04-May,Silver,4,730,28532
45803732,HYUNDAI,Tucson,2015,Jeep,Yes,Diesel,2,143278 km,4.0,Automatic,Front,04-May,Grey,4,765,30151
45803005,HYUNDAI,Santa FE,2018,Jeep,Yes,Diesel,2,41778 km,4.0,Automatic,Front,04-May,Blue,4,1079,59837
45786577,MINI,Cooper CLUBMAN,2009,Coupe,Yes,Petrol,1.6,147200 km,4.0,Automatic,Front,04-May,Grey,6,790,10349
45769753,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Petrol,5.5,101424 km,8.0,Automatic,4x4,04-May,Grey,12,1604,32302
45804982,HYUNDAI,Tucson,2014,Jeep,Yes,Diesel,2,137469 km,4.0,Automatic,Front,04-May,Black,4,639,33230
45808938,DAEWOO,Lacetti,2011,Sedan,Yes,Petrol,1.6,239917 km,4.0,Automatic,Front,04-May,White,4,583,8097
45797714,HYUNDAI,H1,2008,Minivan,Yes,Diesel,2.5,66558 km,4.0,Automatic,Front,04-May,Black,4,1347,14740
45792512,KIA,Optima,2012,Sedan,Yes,Petrol,2,67000 km,4.0,Tiptronic,Front,04-May,Blue,12,642,19444
45813917,MERCEDES-BENZ,C 300,2015,Sedan,Yes,Petrol,2,133048 km,4.0,Automatic,Rear,04-May,White,12,765,4077
45802739,HYUNDAI,Santa FE,2018,Jeep,Yes,Diesel,2,69000 km,4.0,Automatic,Front,04-May,Grey,4,1079,61286
45642662,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,109798 km,4.0,Automatic,Front,04-May,White,12,394,5488
45769092,TOYOTA,Tacoma,2020,Sedan,Yes,Petrol,3.5,1669 km,6.0,Automatic,4x4,04-May,Black,12,1817,31675
45797262,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,187500 km,4.0,Automatic,Front,04-May,Black,4,531,12980
45801945,HYUNDAI,Elantra,2014,Sedan,Yes,Diesel,1.6,78836 km,4.0,Automatic,Front,04-May,Silver,4,528,14426
45041731,LINCOLN,MKZ,2014,Sedan,Yes,Petrol,2.0 Turbo,43000 km,4.0,Automatic,Front,04-May,Black,10,639,21639
45744781,DAEWOO,Lacetti,2009,Sedan,Yes,Petrol,1.6,112282 km,4.0,Automatic,Front,04-May,Silver,4,790,5488
45810167,CHEVROLET,Lacetti,2009,Sedan,Yes,Petrol,1.6,127938 km,4.0,Automatic,Front,04-May,Black,4,790,12861
45755672,LEXUS,CT 200h,2011,Hatchback,Yes,Hybrid,1.8,228610 km,4.0,Automatic,Front,04-May,Black,0,645,4077
45797358,TOYOTA,Prius,2009,Sedan,No,Hybrid,1.8,195000 km,4.0,Automatic,Front,04-May,White,8,878,15053
45732379,HYUNDAI,Santa FE,2010,Jeep,Yes,Diesel,2,198474 km,4.0,Automatic,Front,04-May,Silver,4,836,23536
45789941,KIA,Sorento,2007,Jeep,Yes,Diesel,2.5,77452 km,4.0,Automatic,Front,04-May,Silver,4,1586,5645
45797117,TOYOTA,Prius C,2012,Hatchback,Yes,Hybrid,1.5,75000 km,4.0,Automatic,Front,04-May,Red,12,503,17245
45804481,HYUNDAI,Tucson,2011,Jeep,Yes,Diesel,2,144096 km,4.0,Automatic,Front,04-May,Silver,4,707,23207
45804362,HYUNDAI,Tucson,2016,Jeep,Yes,Diesel,1.7,99881 km,4.0,Automatic,Front,04-May,Black,4,770,43880
44751589,KIA,Sorento EX,2013,Jeep,No,Petrol,2.4,107150 km,4.0,Automatic,Front,04-May,Carnelian red,6,751,25873
45809173,TOYOTA,Aqua,2017,Hatchback,Yes,Petrol,1.5,37490 km,4.0,Automatic,Front,04-May,Black,4,784,35808
45766141,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,3.5,132349 km,6.0,Automatic,4x4,04-May,Grey,12,1053,31047
45772382,MERCEDES-BENZ,E 350,2012,Sedan,Yes,Diesel,3.5,128202 km,6.0,Automatic,Rear,04-May,Black,12,1058,4861
45802722,HYUNDAI,Santa FE,2012,Jeep,Yes,Diesel,2,206608 km,4.0,Automatic,Front,04-May,Silver,4,642,29777
45811781,MAZDA,Mazda 6,2015,Sedan,Yes,Petrol,2.5,120342 km,4.0,Automatic,Front,04-May,White,12,934,4704
45649077,MERCEDES-BENZ,GLE 350,2017,Jeep,Yes,Petrol,3.5,95541 km,6.0,Automatic,Rear,04-May,Black,0,1714,39201
45798552,TOYOTA,Prius,2016,Sedan,Yes,Hybrid,1.8,158000 km,4.0,Automatic,Front,04-May,Grey,12,397,36065
45655151,LEXUS,GX 460,2012,Jeep,Yes,Petrol,4.6,150909 km,8.0,Automatic,4x4,04-May,Black,0,1363,4077
45761487,TOYOTA,Prius,2011,Sedan,No,Hybrid,1.8,281600 km,6.0,Automatic,Front,04-May,Grey,8,645,13485
45757298,LEXUS,GX 470,2014,Jeep,Yes,Petrol,4.6,146218 km,8.0,Automatic,4x4,04-May,Black,0,1356,17562
45803339,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2,269972 km,4.0,Automatic,Front,04-May,Silver,4,765,15053
45733079,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2,54546 km,4.0,Automatic,Front,04-May,Silver,4,639,11299
45786992,NISSAN,Versa,2011,Hatchback,Yes,Petrol,1.8,143000 km,4.0,Automatic,Front,04-May,Black,10,645,10663
45802994,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,133554 km,4.0,Automatic,Front,04-May,Grey,4,891,46236
45655288,AUDI,Q7,2013,Jeep,Yes,Petrol,3,227902 km,6.0,Automatic,4x4,04-May,Blue,0,917,24775
45810124,CHEVROLET,Lacetti,2010,Sedan,Yes,Petrol,1.8,128257 km,4.0,Automatic,Front,04-May,Grey,4,761,12281
45733423,HYUNDAI,Sonata,2017,Sedan,Yes,Petrol,2,7978 km,4.0,Automatic,Front,04-May,Black,4,1017,57698
45803602,TOYOTA,Camry,2016,Sedan,Yes,Petrol,2.5,70000 km,4.0,Tiptronic,Front,04-May,Black,14,1091,31361
45796777,HYUNDAI,H1,2011,Universal,Yes,Diesel,2.5,222604 km,4.0,Automatic,Front,04-May,Black,4,862,18500
45803606,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2,43071 km,4.0,Automatic,Front,04-May,White,4,765,20542
44886390,TOYOTA,RAV 4,2012,Sedan,No,Petrol,2.5,76000 km,4.0,Tiptronic,4x4,04-May,Silver,8,781,16621
45811772,VOLKSWAGEN,Jetta TDI,2012,Sedan,Yes,Diesel,1.9 Turbo,8100 km,4.0,Tiptronic,Front,04-May,Silver,0,614,18189
45797569,HYUNDAI,Elantra,2011,Sedan,Yes,Petrol,1.6,125062 km,4.0,Automatic,Front,04-May,Black,4,583,20266
45793522,AUDI,Q5,2010,Jeep,Yes,Petrol,3.2,150400 km,6.0,Tiptronic,4x4,04-May,Grey,7,1286,22580
45811784,MERCEDES-BENZ,ML 350,2012,Jeep,Yes,Diesel,3.0 Turbo,203500 km,6.0,Tiptronic,4x4,04-May,Silver,12,919,48296
45788444,VOLKSWAGEN,Jetta,2017,Sedan,No,Petrol,1.4 Turbo,13000 km,4.0,Tiptronic,Front,04-May,White,12,738,22894
45805181,HYUNDAI,Tucson,2017,Jeep,Yes,Diesel,2,149608 km,4.0,Automatic,Front,04-May,Grey,4,1017,36401
45731488,HYUNDAI,H1,2015,Universal,Yes,LPG,2.5,132320 km,4.0,Automatic,Front,04-May,Silver,4,934,38574
43719159,MITSUBISHI,Outlander,2011,Jeep,Yes,Petrol,2,100000 km,4.0,Tiptronic,4x4,04-May,Black,8,707,13998
45801964,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,1.6,32595 km,4.0,Automatic,Front,04-May,Silver,4,730,18817
45744747,DAEWOO,Lacetti,2009,Sedan,Yes,Petrol,1.6,107125 km,4.0,Automatic,Front,04-May,Black,4,790,5802
44922777,CHEVROLET,Malibu LT,2016,Sedan,No,Petrol,1.5 Turbo,95085 km,4.0,Automatic,Front,04-May,Silver,8,690,16465
45691966,LEXUS,RX 400 RESTAILING,2008,Jeep,Yes,Hybrid,3.3,235200 km,6.0,Automatic,4x4,04-May,Silver,12,1750,24775
45793661,FORD,Transit,2011,Microbus,No,Diesel,2.2 Turbo,122000 km,4.0,Manual,Front,04-May,White,2,769,23521
45732925,HYUNDAI,Sonata,2010,Sedan,Yes,Petrol,2,71941 km,4.0,Automatic,Front,04-May,Silver,4,836,9408
45757543,TOYOTA,Prius,2013,Hatchback,No,Hybrid,1.8,0 km,4.0,Automatic,Front,04-May,Blue,0,585,14897
45794565,FORD,Focus,2015,Hatchback,No,Petrol,2,217600 km,4.0,Automatic,Front,04-May,White,8,765,13172
45770230,MERCEDES-BENZ,E 300,2017,Sedan,Yes,Petrol,2,50963 km,4.0,Automatic,Rear,04-May,Black,12,1017,56136
45726679,SSANGYONG,Korando,2013,Jeep,Yes,Diesel,2,85704 km,4.0,Automatic,Front,04-May,Silver,4,640,25591
45801671,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,180000 km,4.0,Automatic,Front,04-May,Grey,4,531,19121
45774206,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Petrol,5.5,101424 km,8.0,Automatic,4x4,04-May,Grey,12,1604,32302
45733609,HYUNDAI,Sonata,2018,Sedan,Yes,Petrol,2,48605 km,4.0,Automatic,Front,04-May,Grey,4,1079,52959
45435361,AUDI,A4 premium plius,2011,Sedan,Yes,Petrol,2.0 Turbo,181155 km,4.0,Tiptronic,4x4,04-May,Black,8,707,19130
45462649,TOYOTA,Corolla,2006,Sedan,No,Diesel,1.4 Turbo,162000 km,4.0,Automatic,Front,04-May,Grey,6,1062,11917
43718513,HYUNDAI,Elantra GT,2014,Hatchback,No,Petrol,2,51950 km,4.0,Automatic,Front,04-May,Grey,8,639,14740
45719857,HYUNDAI,Accent,2013,Hatchback,No,Petrol,1.6,129000 km,4.0,Tiptronic,Front,04-May,Blue,8,530,10976
45730431,SSANGYONG,REXTON,2013,Jeep,Yes,Diesel,2,152739 km,4.0,Automatic,Front,04-May,Brown,4,640,32045
45732781,HYUNDAI,Sonata,2010,Sedan,Yes,Petrol,2,104727 km,4.0,Automatic,Front,04-May,Black,4,836,13366
45769136,MERCEDES-BENZ,E 350,2013,Sedan,Yes,Diesel,3.5,107800 km,6.0,Automatic,Rear,04-May,Grey,12,1055,5802
45759107,LEXUS,GX 470,2013,Jeep,Yes,Petrol,4.6,202651 km,8.0,Automatic,4x4,04-May,Black,0,1360,6272
45810708,TOYOTA,Camry,2017,Sedan,Yes,Petrol,2.5 Turbo,32000 km,4.0,Tiptronic,Front,04-May,Green,14,1249,29793
45732669,HYUNDAI,Sonata,2010,Sedan,Yes,Petrol,2,161240 km,4.0,Automatic,Front,04-May,White,4,836,13877
45810532,CHEVROLET,Orlando,2013,Jeep,Yes,Diesel,2,121042 km,4.0,Automatic,Front,04-May,White,4,640,22357
45732544,HYUNDAI,Santa FE,2017,Jeep,Yes,Diesel,2,100734 km,4.0,Automatic,Front,04-May,Black,4,1017,55390
45453280,LEXUS,HS 250h,2010,Sedan,Yes,Hybrid,2.4,102000 km,4.0,Tiptronic,Front,04-May,Grey,12,986,10036
45809079,CHEVROLET,Captiva,2018,Jeep,Yes,Diesel,2,19698 km,4.0,Automatic,Front,04-May,Black,4,1079,52034
44678587,TOYOTA,Sienna,2013,Minivan,No,Petrol,3.5,144000 km,6.0,Tiptronic,Front,04-May,Grey,12,1055,36065
44930375,MERCEDES-BENZ,CLS 350 JAPAN,2008,Coupe,Yes,Petrol,3.5,122600 km,6.0,Tiptronic,Rear,04-May,Black,8,1850,29793
45808892,CHEVROLET,Aveo,2016,Hatchback,Yes,Petrol,1.6,60805 km,4.0,Automatic,Front,04-May,Orange,4,730,24283
45810531,CHEVROLET,Orlando,2012,Jeep,Yes,Diesel,2,129760 km,4.0,Automatic,Front,04-May,Grey,4,642,22649
45733393,HYUNDAI,Sonata,2015,Sedan,Yes,Petrol,2,43628 km,4.0,Automatic,Front,04-May,White,4,765,67404
45522613,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,2.4,130000 km,4.0,Tiptronic,Front,04-May,Grey,6,751,14113
45810461,CHEVROLET,Orlando,2012,Jeep,Yes,Diesel,2,229276 km,4.0,Automatic,Front,04-May,Grey,4,642,13996
